"","avg_2018","avg_2019","bar_name","route_desc","avg_2018_percent","avg_2019_percent"
"120",2337.8,2515.7,"Bus 65","Local Bus",0.2,0.2
"121",12366.6,13575.9,"Bus 66","Key Bus",1.1,1.3
"122",665.7,661.2,"Bus 67","Local Bus",0.1,0.1
"123",433,403.9,"Bus 68","Local Bus",0,0
"124",2604.6,2731.1,"Bus 69","Local Bus",0.2,0.3
"125",4512.7,4796.7,"Bus 7","Local Bus",0.4,0.4
"126",4852.9,4675,"Bus 70","Local Bus",0.4,0.4
"127",1093.5,1128.7,"Bus 708","Local Bus",0.1,0.1
"128",5171.3,5103.8,"Bus 71","Key Bus",0.5,0.5
"129",1585.7,1665,"Bus 712","Local Bus",0.1,0.2
"130",1298.1,1332.7,"Bus 713","Local Bus",0.1,0.1
"131",5866.4,5550.9,"Bus 73","Key Bus",0.5,0.5
"132",809.7,730.2,"Bus 74","Local Bus",0.1,0.1
"133",7762,7411.5,"Bus 741","Key Bus",0.7,0.7
"134",6135.4,6239.6,"Bus 742","Key Bus",0.5,0.6
"135",5903.9,7163.2,"Bus 743","Key Bus",0.5,0.7
"136",2034.7,2425.3,"Bus 746","Key Bus",0.2,0.2
"137",1807.3,1951.3,"Bus 747","Local Bus",0.2,0.2
"138",9911.5,9729,"Bus 749","Key Bus",0.9,0.9
"139",475.3,481.5,"Bus 75","Local Bus",0,0
"140",5781.5,5520.1,"Bus 751","Key Bus",0.5,0.5
"141",1013.3,979.3,"Bus 76","Local Bus",0.1,0.1
"142",7195.8,6651.6,"Bus 77","Key Bus",0.6,0.6
"143",1554.7,1289.4,"Bus 78","Local Bus",0.1,0.1
"144",2923.8,3039,"Bus 8","Local Bus",0.3,0.3
"145",2127.5,1621.9,"Bus 80","Local Bus",0.2,0.2
"146",1848.5,1827.6,"Bus 83","Local Bus",0.2,0.2
"147",571.9,586.1,"Bus 85","Local Bus",0.1,0.1
"148",5944.1,6227.1,"Bus 86","Local Bus",0.5,0.6
"149",3493.3,3681.5,"Bus 87","Local Bus",0.3,0.3
"150",3913.7,3813.3,"Bus 88","Local Bus",0.4,0.4
"151",3273.2,3478.8,"Bus 89","Local Bus",0.3,0.3
"152",6529.4,6724.8,"Bus 9","Local Bus",0.6,0.6
"153",896.1,1072.8,"Bus 90","Local Bus",0.1,0.1
"154",1540,1438.6,"Bus 91","Local Bus",0.1,0.1
"155",979.6,1055.6,"Bus 92","Local Bus",0.1,0.1
"156",4418.5,4323.9,"Bus 93","Local Bus",0.4,0.4
"157",1636,1527.6,"Bus 94","Local Bus",0.1,0.1
"158",1481.9,1426.3,"Bus 95","Local Bus",0.1,0.1
"159",2030.2,2087.5,"Bus 96","Local Bus",0.2,0.2
"160",928.3,893.3,"Bus 97","Local Bus",0.1,0.1
"161",1116.6,1060.4,"Bus 99","Local Bus",0.1,0.1
