"","avg_2018","avg_2019","bar_name","municipal","avg_2018_percent","avg_2019_percent"
"116",291.666666666667,393.96875,"Long Wharf (South)","Boston",0,0
"117",374.52380952381,573,"Charlestown Navy Yard","Boston",0,0.1
"118",1583.33333333333,1859.22222222222,"Rowes Wharf","Boston",0.2,0.2
"119",112.2,110,"Bus Washington St opp Ruggles St","Boston",0,0
"120",104.6,103.5,"Bus Washington St @ Melnea Cass Blvd","Boston",0,0
"121",327.1,329.2,"Bus Washington St @ Melnea Cass Blvd - Silver Line","Boston",0,0
"122",305.7,291.5,"Bus Washington St @ Lenox St","Boston",0,0
"123",677.8,647.1,"Bus Washington St @ Massachusetts Ave","Boston",0.1,0.1
"124",25.2,28,"Bus Melnea Cass Blvd @ Harrison Ave","Boston",0,0
"125",1.2,0.2,"Bus Theo Glynn Way @ Newmarket Sq","Boston",0,0
"126",26.2,26.3,"Bus Melnea Cass Blvd opp Kerr Way","Boston",0,0
"127",145.1,71.4,"Bus Dorchester St @ Dorchester Ave","Boston",0,0
"128",4.7,8.5,"Bus Dorchester St @ Vinton St","Boston",0,0
"129",18.5,15.4,"Bus Dorchester St @ Old Colony Ave","Boston",0,0
"130",27.6,16.8,"Bus Dorchester St @ E 8th St","Boston",0,0
"131",25.6,28.8,"Bus 180 Dorchester St opp W 7th St","Boston",0,0
"132",2.8,2,"Bus Dorchester St @ Old Harbor St","Boston",0,0
"133",9.8,6,"Bus Dorchester St @ E Broadway","Boston",0,0
"134",24.6,32.2,"Bus E Broadway @ G St","Boston",0,0
"135",9.7,8.4,"Bus E Broadway @ H St","Boston",0,0
"136",6.8,5.6,"Bus E Broadway @ I St","Boston",0,0
"137",9.2,8,"Bus E Broadway @ K St","Boston",0,0
"138",20.2,15.7,"Bus E Broadway @ L St","Boston",0,0
"139",6,5.7,"Bus E Broadway @ N St","Boston",0,0
"140",2.3,1.7,"Bus E Broadway @ O St","Boston",0,0
"141",26.6,11.7,"Bus E Broadway @ P St","Boston",0,0
"142",0.5,0.3,"Bus E Broadway @ Farragut Rd","Boston",0,0
"143",0.5,0.3,"Bus Farragut Rd opp E 2nd St","Boston",0,0
"144",322.5,351.6,"Bus City Point Bus Terminal","Boston",0,0
"145",118,126.9,"Bus P St @ E 2nd St","Boston",0,0
"146",479.3,500.3,"Bus P St @ E Broadway","Boston",0.1,0.1
"147",284.8,329.4,"Bus E Broadway @ L St","Boston",0,0
"148",296.6,267.9,"Bus E Broadway @ K St","Boston",0,0
"149",268.4,280.5,"Bus E Broadway @ I St","Boston",0,0
"150",179,191.1,"Bus E Broadway @ H St","Boston",0,0
"151",255.9,252.5,"Bus E Broadway @ G St","Boston",0,0
"152",92.9,63.6,"Bus Dorchester St @ Broadway","Boston",0,0
"153",26.2,23.5,"Bus Dorchester St @ W 5th St","Boston",0,0
"154",12.7,17,"Bus Dorchester St @ W 6th St","Boston",0,0
"155",60.8,47.1,"Bus Dorchester St @ W 8th St","Boston",0,0
"156",37.1,31.1,"Bus Dorchester St @ Old Colony Ave","Boston",0,0
"157",6.3,8.1,"Bus Dorchester St @ Middle St","Boston",0,0
"158",9.7,7.7,"Bus Dorchester St @ Dorchester Ave","Boston",0,0
"159",336.8,308,"Bus Washington St @ Massachusetts Ave","Boston",0,0
"160",444.4,484.6,"Bus Massachusetts Ave @ Albany St","Boston",0,0.1
"161",1115.3,993.3,"Bus Massachusetts Ave @ Harrison Ave","Boston",0.1,0.1
"162",62.2,59.2,"Bus Massachusetts Ave @ Washington St","Boston",0,0
"163",229,224.7,"Bus Washington St @ Lenox St","Boston",0,0
"164",108.3,101.3,"Bus Washington St @ Melnea Cass Blvd","Boston",0,0
"165",32.8,28.6,"Bus Washington St @ Williams St","Boston",0,0
"166",9,9.9,"Bus Washington St @ Ruggles St","Boston",0,0
"167",293.1,336.4,"Bus State St @ Washington Mall - State St Sta","Boston",0,0
"168",89.6,121.6,"Bus Mt Auburn St @ DeWolfe St","Cambridge",0,0
"169",207.9,259.1,"Bus Mt Auburn St @ Putnam Ave","Cambridge",0,0
"170",87.5,94.9,"Bus Massachusetts Ave @ Sidney St","Cambridge",0,0
"171",263.3,306.8,"Bus Massachusetts Ave @ Prospect St","Cambridge",0,0
"172",83.9,87.2,"Bus Massachusetts Ave @ Inman St","Cambridge",0,0
"173",29.7,37.8,"Bus Massachusetts Ave @ Hancock St","Cambridge",0,0
"174",24,27.2,"Bus Massachusetts Ave @ Dana St","Cambridge",0,0
"175",22,22.8,"Bus Massachusetts Ave @ Trowbridge St","Cambridge",0,0
"176",2.6,2,"Bus Massachusetts Ave @ Bow St","Cambridge",0,0
"177",705,818.7,"Bus Massachusetts Ave @ Holyoke St","Cambridge",0.1,0.1
"178",167.2,239,"Bus Mt Vernon St @ South Point Dr","Boston",0,0
"179",1.7,6.3,"Bus Portland St @ Causeway St","Boston",0,0
"180",145.1,154,"Bus Causeway St @ North Station","Boston",0,0
"181",1319.8,1184,"Bus Congress St @ Haymarket Sta","Boston",0.1,0.1
"182",7.1,5.4,"Bus Causeway St @ Medford St","Boston",0,0
"183",1,2.4,"Bus Rivermoor St @ Industrial Park","Boston",0,0
"184",22.2,33.2,"Bus Columbia Rd @ Buttonwood St","Boston",0,0
"185",49.6,55.2,"Bus Columbia Rd opp Pond St","Boston",0,0
"186",61.9,63,"Bus Massachusetts Ave @ Boston St","Boston",0,0
"187",1.1,5.4,"Bus Massachusetts Ave @ Clapp St","Boston",0,0
"188",139.8,169.7,"Bus Massachusetts Ave opp Magazine St","Boston",0,0
"189",0.5,1.2,"Bus Rivermoor St @ Charles Park Rd","Boston",0,0
"190",9,0,"Bus Massachusetts Ave opp Newmarket Station","Boston",0,0
"191",0.2,37.8,"Bus Massachusetts Ave opp Clapp St","Boston",0,0
"192",55.9,79.4,"Bus Massachusetts Ave @ Columbia Rd","Boston",0,0
"193",10.6,14.1,"Bus Columbia Rd @ Pond St","Boston",0,0
"194",10.3,2.4,"Bus Columbia Rd @ Buttonwood St","Boston",0,0
"195",3.4,2.4,"Bus Charles Park Rd @ Rivermoor St","Boston",0,0
"196",4.3,3.5,"Bus Mt Vernon St @ Bay Side Expo Center","Boston",0,0
"197",1.1,1.8,"Bus 263 Mt Vernon St @ St Christopher's Church","Boston",0,0
"198",0.6,0.6,"Bus Mt Vernon St @ Paul A. Dever School","Boston",0,0
"199",5.9,0,"Bus Mt Vernon St @ South Point Dr","Boston",0,0
"200",212.8,236.1,"Bus Boylston St @ Clarendon St","Boston",0,0
"201",124,149.1,"Bus Boylston St @ Berkeley St","Boston",0,0
"202",193.2,208.7,"Bus Arlington St @ Saint James Ave","Boston",0,0
"203",57,63.2,"Bus Arlington St @ Isabella St","Boston",0,0
"204",93.6,86.2,"Bus Herald St @ Tremont St","Boston",0,0
"205",129.1,128.9,"Bus Herald St @ Washington St","Boston",0,0
"206",1064.5,1139.6,"Bus Broadway Station - Red Line","Boston",0.1,0.1
"207",1486.4,1453.2,"Bus W Broadway @ Broadway Station","Boston",0.2,0.2
"208",29.5,32.8,"Bus W Broadway @ B St","Boston",0,0
"209",0.1,78.1,"Bus W Broadway @ D St","Boston",0,0
"210",42.8,46.2,"Bus W Broadway @ E St","Boston",0,0
"211",45.1,48.5,"Bus W Broadway @ F St","Boston",0,0
"212",48.2,43.1,"Bus W Broadway @ Dorchester St","Boston",0,0
"213",249.7,235.9,"Bus 442 W Broadway","Boston",0,0
"214",208.4,224.6,"Bus W Broadway @ F St","Boston",0,0
"215",130.2,132,"Bus W Broadway @ E St","Boston",0,0
"216",168,183.3,"Bus W Broadway @ D St","Boston",0,0
"217",36.1,31.6,"Bus W Broadway @ C St","Boston",0,0
"218",30.2,28.9,"Bus W Broadway @ B St","Boston",0,0
"219",26.5,26.5,"Bus Tremont St @ Appleton St","Boston",0,0
"220",34.5,44,"Bus Berkeley St @ Columbus Ave","Boston",0,0
"221",101.5,49.3,"Bus Saint James Ave @ Clarendon St","Boston",0,0
"222",36.1,33.4,"Bus Ring Rd @ Boylston St","Boston",0,0
"223",998.6,1076.9,"Bus Boylston St @ Dartmouth St","Boston",0.1,0.1
"224",300.8,278.5,"Bus Dartmouth St opp Back Bay Sta","Boston",0,0
"225",15.3,10.7,"Bus Saint James Ave @ Arlington St","Boston",0,0
"226",1357,1453.5,"Bus Saint James Ave @ Dartmouth St","Boston",0.1,0.2
"227",68.5,57.7,"Bus Huntington Ave @ Ring Rd","Boston",0,0
"228",2.8,2.6,"Bus Bay St @ Auckland St","Boston",0,0
"229",879,832.8,"Bus Massachusetts Ave @ Massachusetts Ave Station","Boston",0.1,0.1
"230",430.4,457.8,"Bus Massachusetts Ave @ Massachusetts Ave Station","Boston",0,0.1
"231",168.2,197.5,"Bus Congress St @ State St","Boston",0,0
"232",76.9,50.8,"Bus Congress St @ North St","Boston",0,0
"233",8.5,10.9,"Bus Summer St @ Powerhouse St","Boston",0,0
"234",59.9,71.2,"Bus Summer St @ Drydock Ave","Boston",0,0
"235",75.9,60.4,"Bus Summer St @ D St","Boston",0,0
"236",9,7.7,"Bus Seaport Blvd @ Pier 4 Blvd","Boston",0,0
"237",4.6,6.4,"Bus Atlantic Ave @ Congress St","Boston",0,0
"238",0,0.7,"Bus Atlantic Ave @ Seaport Blvd.","Boston",0,0
"239",0,0.2,"Bus Atlantic Ave @ Rowes Wharf","Boston",0,0
"240",2,0.9,"Bus Atlantic Ave @ State St-Marriott Hotel","Boston",0,0
"241",0.2,0.1,"Bus Atlantic Ave @ Atlantic Ave","Boston",0,0
"242",0.4,1.8,"Bus Commercial St @ Hanover St","Boston",0,0
"243",0.5,0,"Bus Commercial St opp Hull St","Boston",0,0
"244",3.4,3.7,"Bus Commercial St @ Battery St","Boston",0,0
"245",3.3,2.4,"Bus Commercial St @ Fleet St","Boston",0,0
"246",2.7,1.9,"Bus Atlantic Ave @ Central St","Boston",0,0
"247",8.5,10.1,"Bus Summer St @ E St","Boston",0,0
"248",12,16.9,"Bus Summer St @ Pappas Way","Boston",0,0
"249",9.2,11.1,"Bus Northern Ave @ Harbor St","Boston",0,0
"250",9.7,8.3,"Bus B St @ Silver St","Boston",0,0
